Temperature,Vibration,Current,RPM,Operating_Hours,Status
81,7.52,6.72,1157,4697,Failure
78,0.89,6.33,1424,1686,Warning
53,4.56,4.91,1417,2208,Warning
70,5.82,9.06,1268,2482,Failure
44,7.03,5.58,1181,3954,Failure
74,5.86,3.57,1318,4906,Failure
62,6.51,7.01,1276,3312,Failure
68,3.05,3.74,1303,1499,Warning
82,6.61,5.24,1170,4550,Failure
50,1.1,6.3,1486,1282,Normal
57,7.21,8.68,1365,4167,Failure
86,4.61,6.21,1197,727,Failure
51,6.63,7.56,1444,2708,Failure
48,3.89,9.45,1390,2078,Failure
49,5.33,3.85,1307,3808,Warning
83,4.45,4.79,1101,4674,Failure
56,5.99,5.56,1223,2087,Failure
77,1.11,5.74,1379,2699,Warning
46,0.95,5.67,1173,706,Failure
85,2.35,8.9,1265,215,Failure
52,1.7,7.64,1121,4994,Failure
79,7.04,6.95,1253,4641,Failure
81,2.14,5.01,1394,639,Failure
48,7.82,8.35,1318,4574,Failure
89,3.03,9.21,1256,2871,Failure
66,1.87,8.34,1329,4308,Failure
41,6.42,3.01,1119,1312,Failure
44,5.44,7.14,1140,121,Failure
68,4.24,3.33,1247,3566,Failure
76,4.67,4.67,1207,4800,Failure
77,5.89,3.39,1183,3630,Failure
58,2.21,6.92,1466,318,Warning
47,7.97,7.46,1421,1826,Failure
87,7.81,3.74,1408,2512,Failure
84,5.38,5.49,1389,1318,Failure
40,2.0,5.97,1422,1065,Normal
61,5.6,5.4,1233,2772,Failure
91,1.04,3.79,1306,1133,Failure
56,0.73,5.72,1382,4151,Failure
46,2.43,7.88,1365,456,Warning
64,3.97,3.46,1172,3126,Failure
84,7.01,3.52,1451,1035,Failure
43,5.95,5.31,1147,3653,Failure
75,6.07,9.12,1425,4535,Failure
45,3.69,7.35,1332,759,Warning
70,3.09,7.41,1199,2668,Failure
58,3.28,5.35,1158,4899,Failure
83,7.91,6.86,1357,1461,Failure
93,0.8,3.07,1164,4671,Failure
78,7.0,7.13,1182,1535,Failure
66,4.84,8.94,1253,3000,Failure
49,3.79,6.98,1365,4701,Failure
65,5.94,8.68,1408,2984,Failure
58,4.15,7.71,1178,4164,Failure
78,7.05,3.78,1414,4720,Failure
42,7.26,8.87,1249,1053,Failure
84,3.66,3.43,1147,2516,Failure
52,2.58,6.47,1478,2516,Warning
89,4.94,3.92,1347,1988,Failure
67,7.34,3.08,1377,1989,Failure
59,2.08,5.74,1455,1685,Normal
67,5.17,4.92,1197,1748,Failure
47,5.24,6.16,1124,4577,Failure
80,6.0,6.75,1383,2141,Failure
78,1.49,3.28,1468,1945,Warning
40,5.87,3.8,1400,4290,Failure
42,7.32,6.63,1167,3448,Failure
52,1.85,5.23,1106,1123,Failure
67,2.28,7.74,1404,2452,Warning
88,7.79,7.24,1236,4945,Failure
64,1.86,8.5,1263,3262,Failure
72,6.91,7.5,1182,4087,Failure
77,4.19,5.79,1484,1201,Warning
92,2.35,7.37,1237,2495,Failure
45,7.03,4.79,1172,2006,Failure
83,3.84,4.99,1336,4608,Failure
84,4.36,8.13,1145,3957,Failure
71,3.19,5.9,1205,857,Failure
84,4.95,8.19,1387,236,Failure
86,1.73,8.35,1361,4877,Failure
60,3.43,8.57,1275,4574,Failure
55,7.77,8.96,1265,1357,Failure
93,2.44,5.8,1244,2334,Failure
60,5.43,5.07,1429,4916,Failure
50,2.94,6.78,1469,807,Warning
76,6.3,5.41,1382,4281,Failure
75,1.48,6.91,1153,4937,Failure
74,7.77,7.59,1277,3904,Failure
58,3.9,7.47,1343,4316,Failure
59,2.27,5.43,1440,2256,Normal
57,1.05,4.08,1226,3608,Failure
86,1.77,5.8,1466,1630,Failure
80,4.4,3.93,1370,1011,Failure
88,3.03,8.79,1231,3897,Failure
53,6.72,5.25,1192,3625,Failure
54,3.73,4.0,1478,925,Warning
70,2.37,3.17,1172,2468,Failure
40,5.13,7.2,1347,4248,Failure
92,5.8,7.14,1447,1051,Failure
93,1.75,5.21,1372,3434,Failure
93,1.76,3.47,1142,4116,Failure
42,0.78,5.66,1476,2895,Warning
55,6.02,5.02,1140,1531,Failure
62,5.48,7.4,1269,3351,Warning
50,4.06,6.94,1311,707,Warning
51,6.83,5.37,1267,2830,Failure
49,6.54,4.42,1138,472,Failure
71,4.89,9.42,1468,3731,Failure
55,7.01,5.95,1344,4316,Failure
47,2.04,7.47,1250,2760,Failure
77,1.34,3.91,1210,502,Failure
51,2.52,6.16,1146,2447,Failure
63,0.93,3.18,1162,2025,Failure
67,4.48,6.29,1324,1707,Warning
92,7.52,9.27,1465,2591,Failure
47,0.8,5.5,1168,3125,Failure
67,1.42,3.25,1398,3214,Warning
75,3.89,3.2,1389,3016,Warning
65,7.5,5.52,1395,2103,Failure
47,2.87,4.04,1302,337,Warning
89,4.3,3.15,1160,3267,Failure
67,0.81,7.92,1417,3904,Warning
67,1.61,5.98,1413,1497,Warning
76,7.9,4.88,1260,657,Failure
80,7.74,8.85,1430,4602,Failure
75,0.54,3.75,1115,1814,Failure
66,7.64,9.21,1437,1275,Failure
93,5.29,5.04,1193,1285,Failure
56,7.01,8.77,1403,1079,Failure
48,3.91,6.92,1237,2721,Failure
72,4.37,8.37,1437,4012,Failure
92,4.17,9.4,1137,4592,Failure
59,5.5,4.87,1226,4980,Failure
52,1.55,9.25,1374,3227,Failure
67,0.72,5.53,1263,3772,Warning
87,2.81,5.51,1418,4956,Failure
68,5.79,5.21,1176,1525,Failure
52,2.01,6.52,1273,2946,Warning
85,5.55,4.0,1486,858,Failure
74,7.77,6.6,1457,1028,Failure
45,1.2,6.52,1420,2513,Warning
57,5.54,7.95,1475,775,Failure
90,3.83,8.42,1190,2551,Failure
44,7.01,5.86,1337,3412,Failure
86,1.83,4.97,1363,1266,Failure
64,5.69,4.69,1278,4101,Failure
41,6.79,4.27,1308,2247,Failure
49,7.58,3.37,1172,2856,Failure
69,5.62,5.23,1489,828,Failure
89,4.23,4.76,1206,1022,Failure
84,5.13,9.28,1444,2860,Failure
44,7.02,6.63,1394,2173,Failure
94,4.78,5.26,1468,648,Failure
72,0.73,6.77,1383,3391,Warning
93,7.48,3.9,1452,274,Failure
40,5.67,5.89,1281,890,Failure
57,5.57,7.07,1136,1864,Failure
71,2.12,6.18,1236,4859,Failure
86,5.44,5.61,1437,1156,Failure
88,3.45,9.46,1155,174,Failure
50,5.38,8.72,1286,3296,Failure
60,1.3,7.05,1440,2981,Warning
65,5.43,6.7,1357,4175,Failure
64,8.0,7.03,1157,3021,Failure
61,0.86,4.31,1462,2067,Normal
66,7.83,5.57,1222,2465,Failure
88,3.55,3.26,1287,4640,Failure
52,7.03,6.09,1329,3146,Failure
72,6.37,6.53,1267,1659,Failure
73,4.75,4.48,1213,767,Failure
80,6.04,9.27,1351,3611,Failure
74,7.09,8.91,1206,1066,Failure
40,3.53,7.69,1136,3615,Failure
60,2.95,6.47,1434,4751,Failure
87,5.51,8.65,1191,4520,Failure
94,6.56,3.85,1117,2010,Failure
45,6.22,8.14,1453,1098,Failure
67,6.48,3.81,1162,1407,Failure
56,3.77,8.16,1249,3476,Failure
44,6.63,4.79,1238,165,Failure
70,1.4,8.7,1285,2145,Failure
44,4.58,9.14,1284,1851,Failure
77,0.54,3.97,1304,2196,Warning
42,2.93,6.01,1359,1670,Normal
92,3.25,9.38,1313,4830,Failure
62,3.47,6.14,1355,3000,Warning
76,5.72,8.61,1234,3842,Failure
92,3.41,6.83,1160,2991,Failure
76,3.87,5.44,1462,4955,Failure
49,2.28,4.86,1409,1027,Normal
49,3.3,4.32,1187,3116,Failure
58,2.2,7.95,1423,833,Warning
56,1.05,5.51,1306,290,Warning
60,5.03,6.32,1228,1603,Failure
53,5.51,6.2,1410,4628,Failure
48,5.15,6.75,1102,1062,Failure
85,3.98,8.63,1341,236,Failure
40,3.35,9.37,1220,1931,Failure
90,6.98,5.65,1484,4636,Failure
84,4.39,8.38,1201,480,Failure
52,4.09,7.97,1137,288,Failure
43,0.69,6.73,1440,2395,Warning
40,3.06,9.21,1232,125,Failure
88,3.35,4.3,1301,1406,Failure
79,3.49,3.71,1447,4972,Failure
71,4.85,8.55,1120,2380,Failure
73,4.5,5.85,1341,4736,Failure
67,5.06,8.51,1208,1952,Failure
70,6.24,8.81,1402,4063,Failure
47,6.6,3.41,1183,4720,Failure
78,5.89,8.74,1182,2109,Failure
65,7.67,5.91,1390,190,Failure
73,0.64,6.32,1168,1839,Failure
93,1.97,7.07,1228,3676,Failure
93,0.56,9.02,1295,66,Failure
42,5.36,3.12,1239,4398,Failure
89,7.24,6.1,1382,514,Failure
51,2.33,7.47,1411,4521,Failure
40,7.45,7.7,1333,1877,Failure
93,0.95,7.5,1122,3078,Failure
83,7.51,3.87,1252,569,Failure
44,3.14,4.95,1376,139,Normal
69,1.26,5.33,1160,4865,Failure
69,4.14,8.23,1418,2901,Failure
56,2.43,4.81,1477,2893,Warning
87,2.64,4.37,1151,4775,Failure
86,2.8,9.22,1443,1934,Failure
62,6.52,3.06,1252,4221,Failure
54,4.54,9.49,1336,975,Failure
76,2.83,7.4,1410,3784,Warning
60,5.08,8.39,1401,1019,Failure
53,5.87,4.92,1131,1144,Failure
41,2.54,3.09,1154,3245,Failure
50,3.6,7.8,1451,1454,Warning
90,1.41,8.42,1488,3414,Failure
78,1.86,7.81,1135,4340,Failure
77,5.61,3.93,1209,4032,Failure
73,1.86,7.9,1276,4373,Failure
77,4.44,8.0,1461,4063,Failure
89,5.82,7.28,1413,4606,Failure
73,1.3,7.98,1394,4763,Failure
57,4.75,8.5,1435,3142,Failure
69,2.42,6.99,1196,4209,Failure
54,7.72,3.58,1468,2124,Failure
66,4.13,6.17,1312,334,Warning
90,6.54,3.5,1416,4983,Failure
73,4.63,5.65,1236,4976,Failure
91,0.83,5.65,1105,1237,Failure
77,5.25,3.43,1208,4019,Failure
72,7.64,5.27,1134,3015,Failure
63,5.01,3.72,1138,4369,Failure
54,6.64,8.25,1249,833,Failure
69,7.13,9.16,1217,999,Failure
94,2.21,3.47,1360,3989,Failure
81,2.09,9.21,1186,94,Failure
90,5.08,6.4,1175,1860,Failure
56,3.58,4.95,1412,4616,Failure
44,6.8,3.5,1482,2131,Failure
68,7.25,6.25,1313,3548,Failure
43,3.15,8.16,1384,879,Failure
49,2.28,7.6,1338,1959,Warning
56,6.35,3.33,1264,2631,Failure
49,2.56,3.47,1186,741,Failure
56,6.67,5.62,1240,4069,Failure
59,3.68,4.92,1259,981,Warning
63,5.51,4.51,1145,4986,Failure
44,1.22,4.83,1471,3456,Warning
73,5.18,8.22,1211,197,Failure
45,3.89,9.04,1144,1082,Failure
92,4.9,5.63,1500,1361,Failure
41,1.76,8.89,1346,437,Failure
52,6.03,5.09,1203,3171,Failure
82,6.97,6.1,1184,1923,Failure
82,2.13,4.47,1233,3638,Failure
87,1.22,7.16,1207,965,Failure
50,0.68,9.36,1117,1928,Failure
90,5.31,6.92,1193,3798,Failure
86,5.05,5.33,1249,327,Failure
62,4.6,7.21,1345,2027,Warning
94,2.24,3.8,1388,1909,Failure
55,3.43,8.78,1308,3086,Failure
70,4.96,6.27,1225,3421,Failure
50,4.23,5.92,1334,4763,Failure
93,7.91,6.81,1221,2232,Failure
55,1.52,7.06,1237,4725,Failure
47,5.71,3.47,1214,1220,Failure
43,3.53,7.44,1261,539,Warning
79,3.71,4.57,1300,2575,Warning
43,5.88,7.64,1333,1232,Failure
64,5.69,8.35,1127,4529,Failure
42,7.93,8.23,1110,4308,Failure
71,1.46,6.59,1305,2538,Warning
42,1.28,6.38,1266,1926,Warning
66,5.93,3.93,1346,2512,Failure
68,4.84,8.04,1146,1680,Failure
71,2.56,4.76,1345,337,Warning
